src_ip,dst_ip,src_port,dst_port,first_pkt_time,last_pkt_time,avg_hops,avg_packet_len,nodeRelatedMessages:HeartbeatRequest,nodeRelatedMessages:HeartbeatResponse,nodeRelatedMessages:PFDManagementRequest,nodeRelatedMessages:PFDManagementResponse,nodeRelatedMessages:AssociationSetupRequest,nodeRelatedMessages:AssociationSetupResponse,nodeRelatedMessages:AssociationUpdateRequest,nodeRelatedMessages:AssociationUpdateResponset,nodeRelatedMessages:AssociationReleaseRequest,nodeRelatedMessages:AssociationReleaseResponse,nodeRelatedMessages:VersionNotSupportedResponse,nodeRelatedMessages:NodeReportRequest,nodeRelatedMessages:NodeReportResponse,nodeRelatedMessages:SessionSetDeletionRequest,nodeRelatedMessages:SessionSetDeletionResponse,sessionRelatedMessages:SessionEstablishmentRequest,sessionRelatedMessages:SessionEstablishmentResponse,sessionRelatedMessages:SessionModificationRequest,sessionRelatedMessages:SessionModificationResponse,sessionRelatedMessages:SessionDeletionRequest,sessionRelatedMessages:SessionDeletionResponse,sessionRelatedMessages:SessionReportRequest,sessionRelatedMessages:SessionReportResponse,class
6003::1004,2000::100:502,8814,14608,1603074125.4919498,1603074346.3574424,190,230,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,63,301,149,30,32,182,135,0
14.173.200.75,6003::100a,40356,3120,1603141337.7383509,1603141672.92159,190,161,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,46,420,459,16,11,63,28,1
99.173.254.198,190.170.118.18,48162,62144,1603089338.1253853,1603089454.2045577,190,130,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,80,14,412,385,143,51,1,144,1
6003::1002,6003::1002,14600,14605,1603074078.09281,1603074325.9449985,190,231,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,57,30,365,528,14,33,22,124,0
6003::1005,2000::100:505,14603,8814,1603074325.4506311,1603074748.6442547,190,259,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,615,617,58,33,28,19,0
6003::1000,2000::100:506,14595,14605,1603073971.2530308,1603074071.3557172,191,272,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,72,277,400,39,57,7,134,0
6003::1001,2000::100:506,14602,14602,1603074606.967764,1603074817.5553825,191,218,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,62,14,24,463,26,68,43,44,0
178.154.223.249,59.79.120.108,51688,10096,1603124569.1691911,1603125008.1328413,190,220,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,95,85,63,568,30,78,41,32,1
2000::100:4ee,241.9.233.161,38696,64677,1603133430.9674683,1603133470.8874137,190,223,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,224,14,1510,190,51,42,345,27,1
245.178.33.103,165.61.167.175,44197,667,1603120332.9341123,1603120709.4567306,191,255,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,70,21,18,583,143,81,23,19,1
6003::1002,2000::100:503,8811,14602,1603073973.5700042,1603074099.5186925,191,111,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,120,521,379,59,72,11,130,0
6003::1005,2000::100:501,14598,14599,1603074151.689729,1603074468.8919592,190,254,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,61,38,663,186,47,22,168,17,0
150.163.101.3,6003::1014,52449,27443,1603084503.5809627,1603084551.253535,190,82,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,224,55,124,530,6,40,1,141,1
149.100.152.127,2000::100:520,15574,40765,1603134655.0576303,1603134942.2202373,191,182,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,52,592,383,178,58,267,125,1
6003::1000,2000::100:503,14596,14596,1603074567.856931,1603074633.0931225,190,257,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,102,83,31,437,82,79,23,22,0
6003::fd8,153.105.31.124,16580,28163,1603080565.576035,1603080931.5788517,190,272,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,224,121,1217,475,143,15,267,131,1
2000::100:503,6003::1003,14602,14606,1603074604.0172477,1603075033.7646406,191,257,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,76,59,380,229,36,75,11,11,0
2000::100:501,191.236.248.162,53062,50662,1603125603.1966493,1603125995.0433998,191,92,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,224,41,1217,454,143,21,267,1,1
6003::1005,2000::100:505,14612,14603,1603074149.8524566,1603074574.1626832,191,134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45,29,89,605,62,30,15,24,0
6003::1001,2000::100:502,14602,8802,1603074585.1044188,1603074802.8985796,190,153,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,67,53,100,330,37,43,218,114,0
6003::1004,6003::1005,14611,14596,1603073995.924523,1603074453.313661,190,286,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,66,86,341,330,32,61,76,176,0
6003::1004,2000::100:506,14605,14598,1603074354.746942,1603074803.0183902,191,227,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,50,446,655,6,7,59,83,0
6003::1000,2000::100:504,14593,14595,1603074305.1706579,1603074707.6899626,191,238,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,89,32,236,98,10,38,28,130,0
6003::1000,2000::100:501,14602,14594,1603074260.1217368,1603074691.8038056,190,212,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,88,518,192,54,2,27,15,0
6003::1002,2000::100:504,8810,14613,1603074017.4593108,1603074433.5047553,190,112,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,31,225,549,28,53,22,32,0
6003::1000,2000::100:506,14615,14598,1603074261.136448,1603074667.9770105,191,214,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,86,98,644,619,47,18,12,30,0
2000::100:50b,2000::100:52a,10172,11041,1603119964.7058854,1603120167.1190054,191,253,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,111,5,344,249,143,0,144,182,1
2000::100:520,2000::100:520,3318,6326,1603075510.6078646,1603075751.7889917,190,125,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277,29,1510,421,82,23,345,192,1
2000::100:4e4,6003::fce,21037,45145,1603143881.885039,1603144310.6261086,190,167,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1217,615,7,8,92,17,1
6003::1002,6003::1005,14593,14597,1603074473.6007326,1603074849.8578658,190,226,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,113,122,596,401,60,73,17,216,0
6003::1001,2000::100:501,8810,8809,1603074213.1381962,1603074564.0951328,190,222,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27,9,487,11,62,198,25,0
6.101.124.77,6003::1028,42238,64417,1603137807.7733755,1603137836.8724189,190,114,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,277,37,480,165,34,69,71,30,1
2000::100:501,2000::100:506,8814,14592,1603074063.6526155,1603074277.9939406,190,92,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,94,18,571,629,40,6,50,191,0
2000::100:4d9,186.236.216.57,52889,49987,1603090940.519742,1603091306.870027,190,195,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,277,15,1217,606,178,23,267,8,1
6003::1004,6003::1001,14611,14601,1603074436.1761835,1603074881.8235116,190,78,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,58,28,435,472,60,44,85,15,0
6003::101e,2000::100:501,8704,51915,1603086262.2208145,1603086717.7245877,190,226,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,277,75,606,289,143,3,191,16,1
232.199.54.227,129.211.168.12,19180,40063,1603134765.7076936,1603135165.399474,190,261,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,277,72,1510,561,17,67,151,16,1
6003::1002,2000::100:503,14595,14614,1603074397.8515577,1603074617.6437833,190,190,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,34,606,376,23,31,6,15,0
6003::1005,2000::100:501,14604,8799,1603074145.9517667,1603074566.707283,190,202,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,57,94,69,144,44,42,14,171,0
2000::100:505,2000::100:506,14596,14607,1603074016.8561437,1603074108.2954137,190,159,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,62,105,79,584,37,66,146,15,0
