src_ip,dst_ip,src_port,dst_port,first_pkt_time,last_pkt_time,avg_hops,avg_packet_len,nodeRelatedMessages:HeartbeatRequest,nodeRelatedMessages:HeartbeatResponse,nodeRelatedMessages:PFDManagementRequest,nodeRelatedMessages:PFDManagementResponse,nodeRelatedMessages:AssociationSetupRequest,nodeRelatedMessages:AssociationSetupResponse,nodeRelatedMessages:AssociationUpdateRequest,nodeRelatedMessages:AssociationUpdateResponset,nodeRelatedMessages:AssociationReleaseRequest,nodeRelatedMessages:AssociationReleaseResponse,nodeRelatedMessages:VersionNotSupportedResponse,nodeRelatedMessages:NodeReportRequest,nodeRelatedMessages:NodeReportResponse,nodeRelatedMessages:SessionSetDeletionRequest,nodeRelatedMessages:SessionSetDeletionResponse,sessionRelatedMessages:SessionEstablishmentRequest,sessionRelatedMessages:SessionEstablishmentResponse,sessionRelatedMessages:SessionModificationRequest,sessionRelatedMessages:SessionModificationResponse,sessionRelatedMessages:SessionDeletionRequest,sessionRelatedMessages:SessionDeletionResponse,sessionRelatedMessages:SessionReportRequest,sessionRelatedMessages:SessionReportResponse,class
6003::1000,2000::100:502,8805,8805,1603073960.887834,1603074410.884626,190,78,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6003::1003,2000::100:506,14597,14601,1603074086.2314284,1603074177.5127783,190,143,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,81,113,324,218,61,49,29,37,0
6003::1002,2000::100:504,8800,14606,1603074079.1162698,1603074336.6690226,190,286,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,46,53,220,519,81,31,26,178,0
6003::1005,2000::100:502,14597,14599,1603074162.2833874,1603074427.215838,191,83,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,121,479,573,80,52,125,221,0
6003::1004,2000::100:504,14611,14615,1603074396.712657,1603074793.1826715,190,79,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,120,107,437,527,34,2,137,2,0
2000::100:505,2000::100:504,14596,14599,1603074179.2429147,1603074576.4004354,190,254,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,84,271,55,45,66,4,0
6003::1004,2000::100:504,8807,14594,1603074293.505681,1603074751.891925,190,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,529,379,60,31,145,163,0
6003::1004,2000::100:505,14602,14612,1603074061.065115,1603074503.297873,191,212,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,98,24,269,414,79,25,4,163,0
6003::1004,6003::1005,14610,14613,1603074627.0886014,1603074898.5859132,190,166,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,98,4,503,304,72,60,70,28,0
6003::100a,6003::1000,48005,8715,1603088116.138891,1603088491.0487967,190,110,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,52,1510,486,143,7,267,159,1
6003::1003,2000::100:504,8800,8812,1603074184.6078627,1603074557.6566546,191,162,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,39,66,447,241,39,32,26,82,0
2000::100:504,2000::100:504,14597,14609,1603074202.2312355,1603074430.727987,191,270,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,39,60,208,119,49,48,143,219,0
6003::1003,2000::100:501,8809,14601,1603074555.7338047,1603074996.2089076,190,101,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,90,98,382,92,11,17,28,71,0
6003::1000,2000::100:504,14599,14609,1603074586.1727839,1603074687.639966,191,276,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,121,87,304,300,65,59,7,0,0
6003::1004,2000::100:503,8813,8795,1603074283.658929,1603074579.9125073,191,168,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,53,199,329,46,41,104,69,0
6003::fe2,165.94.200.151,25051,26709,1603081866.0468953,1603082178.206854,190,105,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,642,639,178,3,345,2,1
5.146.225.52,2000::100:4e3,41703,35765,1603088316.0834603,1603088556.9968758,191,291,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,97,76,188,68,47,23,14,1
86.30.169.149,2000::100:52a,35043,17815,1603083063.4799454,1603083247.1114435,191,97,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,114,76,1510,113,42,29,5,58,1
2000::100:501,6003::1000,8805,8805,1603073949.184976,1603074412.680997,192,87,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,240,0
6003::1014,171.44.147.129,13504,36203,1603074384.0333805,1603074775.1278245,190,169,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,114,46,3,213,178,41,99,135,1
22.221.219.193,102.240.205.107,36958,18940,1603087233.1047635,1603087534.1756082,190,167,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70,50,1510,362,178,51,345,110,1
2000::100:4f7,116.71.108.135,1859,11423,1603089865.1334262,1603090270.1797028,190,104,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,110,72,336,33,178,37,221,8,1
6003::fce,31.106.229.191,2719,29311,1603076236.8659453,1603076588.950553,191,128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277,44,280,404,58,1,32,39,1
6003::1001,2000::100:502,14607,8815,1603074237.384123,1603074383.722716,191,292,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,81,122,397,365,33,69,10,35,0
