src_ip,dst_ip,src_port,dst_port,first_pkt_time,last_pkt_time,avg_hops,avg_packet_len,nodeRelatedMessages:HeartbeatRequest,nodeRelatedMessages:HeartbeatResponse,nodeRelatedMessages:PFDManagementRequest,nodeRelatedMessages:PFDManagementResponse,nodeRelatedMessages:AssociationSetupRequest,nodeRelatedMessages:AssociationSetupResponse,nodeRelatedMessages:AssociationUpdateRequest,nodeRelatedMessages:AssociationUpdateResponset,nodeRelatedMessages:AssociationReleaseRequest,nodeRelatedMessages:AssociationReleaseResponse,nodeRelatedMessages:VersionNotSupportedResponse,nodeRelatedMessages:NodeReportRequest,nodeRelatedMessages:NodeReportResponse,nodeRelatedMessages:SessionSetDeletionRequest,nodeRelatedMessages:SessionSetDeletionResponse,sessionRelatedMessages:SessionEstablishmentRequest,sessionRelatedMessages:SessionEstablishmentResponse,sessionRelatedMessages:SessionModificationRequest,sessionRelatedMessages:SessionModificationResponse,sessionRelatedMessages:SessionDeletionRequest,sessionRelatedMessages:SessionDeletionResponse,sessionRelatedMessages:SessionReportRequest,sessionRelatedMessages:SessionReportResponse,class
6003::1002,6003::1001,14605,14595,1603074499.7657309,1603074523.450955,190,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,117,454,24,43,32,221,134,0
8.190.148.106,6003::101e,27254,5270,1603082657.0999303,1603082989.4125075,190,197,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,277,63,407,422,178,79,267,15,1
182.40.138.233,6003::fd8,18208,18198,1603090500.3746698,1603090649.4093795,190,239,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,224,11,416,130,16,72,77,142,1
65.203.204.93,2000::100:51f,43202,48112,1603090376.427726,1603090824.57701,190,132,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,224,3,1217,598,143,30,345,23,1
6003::1001,2000::100:507,14600,14605,1603074135.7190301,1603074516.5702507,190,83,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,94,109,218,254,9,28,111,214,0
2000::100:4e4,81.237.214.231,12482,51421,1603080204.916817,1603080352.5611613,190,231,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,69,92,247,583,43,80,78,125,1
103.63.127.0,6003::fce,40835,13328,1603081026.6238813,1603081457.91933,190,238,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,18,97,48,298,58,48,218,33,1
221.216.195.198,6003::101e,8170,21623,1603076136.406064,1603076560.3329403,190,105,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,224,120,1510,31,178,82,29,239,1
6003::1001,6003::1000,14596,14607,1603074423.6491218,1603074639.983917,190,253,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,76,10,628,226,18,44,83,87,0
52.101.212.200,2000::100:501,8419,61115,1603087661.1769278,1603088108.3094125,191,221,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,61,18,509,476,54,78,159,66,1
6003::1005,2000::100:502,8807,8815,1603074001.7931807,1603074236.7821527,191,255,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,94,99,308,60,35,23,35,15,0
2000::100:501,6003::1000,8805,8805,1603073949.184976,1603074412.680997,192,87,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,240,0
2000::100:504,2000::100:506,14605,14604,1603074181.7402883,1603074589.0369232,190,111,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,58,52,54,23,9,74,5,10,0
6003::1000,6003::1000,14594,14604,1603074436.3685865,1603074827.5364013,190,131,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,45,81,264,140,66,68,15,239,0
