src_ip,dst_ip,src_port,dst_port,first_pkt_time,last_pkt_time,avg_hops,avg_packet_len,nodeRelatedMessages:HeartbeatRequest,nodeRelatedMessages:HeartbeatResponse,nodeRelatedMessages:PFDManagementRequest,nodeRelatedMessages:PFDManagementResponse,nodeRelatedMessages:AssociationSetupRequest,nodeRelatedMessages:AssociationSetupResponse,nodeRelatedMessages:AssociationUpdateRequest,nodeRelatedMessages:AssociationUpdateResponset,nodeRelatedMessages:AssociationReleaseRequest,nodeRelatedMessages:AssociationReleaseResponse,nodeRelatedMessages:VersionNotSupportedResponse,nodeRelatedMessages:NodeReportRequest,nodeRelatedMessages:NodeReportResponse,nodeRelatedMessages:SessionSetDeletionRequest,nodeRelatedMessages:SessionSetDeletionResponse,sessionRelatedMessages:SessionEstablishmentRequest,sessionRelatedMessages:SessionEstablishmentResponse,sessionRelatedMessages:SessionModificationRequest,sessionRelatedMessages:SessionModificationResponse,sessionRelatedMessages:SessionDeletionRequest,sessionRelatedMessages:SessionDeletionResponse,sessionRelatedMessages:SessionReportRequest,sessionRelatedMessages:SessionReportResponse,class
102.10.56.168,6003::101e,44362,54083,1603074185.0143034,1603074594.0044918,191,204,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,45,40,424,601,178,74,86,46,1
253.18.252.66,2000::100:4da,1228,20457,1603074232.974435,1603074421.2801232,190,214,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105,22,1510,232,143,19,345,192,1
6003::1014,171.44.147.129,13504,36203,1603074384.0333805,1603074775.1278245,190,169,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,114,46,3,213,178,41,99,135,1
255.161.108.207,2000::100:51f,42215,6318,1603074396.6656218,1603074771.46173,191,273,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,277,30,1217,655,178,34,345,173,1
200.77.175.10,6003::1028,32341,21054,1603074657.4047775,1603075067.8077974,190,226,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,224,80,1510,332,143,5,345,92,1
2000::100:50c,99.146.214.126,40627,44754,1603074996.7514095,1603075373.691002,190,99,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,50,224,664,52,24,267,8,1
168.11.221.183,2000::100:4e4,14859,59683,1603075360.9279284,1603075697.3651395,190,263,33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,43,82,586,359,63,76,20,21,1
2000::100:52a,26.186.2.12,47888,46282,1603075630.7395215,1603076028.6410346,190,153,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,277,22,1217,505,178,72,267,150,1
175.194.0.27,2000::100:51f,43332,55225,1603075718.856504,1603075942.7767498,190,290,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,118,30,1217,353,178,24,93,30,1
2000::100:4d9,2000::100:515,58740,64974,1603075897.6533232,1603076269.241514,190,100,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,488,387,27,78,32,115,1
2000::100:520,147.222.54.30,17162,25511,1603075933.6048505,1603076348.1402066,190,291,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,99,407,450,143,9,267,180,1
68.36.67.92,54.116.17.230,35822,44441,1603075957.9216592,1603076175.8631659,190,232,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,277,54,149,248,55,25,140,139,1
2000::100:4ee,25.148.235.80,18567,56090,1603076038.5453045,1603076479.037435,191,207,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,9,90,37,554,178,81,345,10,1
6003::fce,31.106.229.191,2719,29311,1603076236.8659453,1603076588.950553,191,128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,277,44,280,404,58,1,32,39,1
173.232.193.230,41.175.80.190,65126,7566,1603076293.579672,1603076697.1087518,190,86,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,224,120,543,121,143,51,267,30,1
2000::100:501,229.187.195.78,11623,27519,1603076654.3552165,1603077070.92389,191,278,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4,288,186,47,70,167,123,1
213.115.69.22,2000::100:4d0,30155,34573,1603076678.1631057,1603077131.4874423,190,184,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,87,1510,202,22,76,267,19,1
2000::100:501,27.17.150.136,40486,52350,1603077000.3634212,1603077443.1003666,190,155,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,224,118,105,31,143,63,345,9,1
224.123.42.124,17.40.177.5,53379,51038,1603077002.1425855,1603077361.6980655,190,107,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,224,13,1510,81,178,45,267,14,1
2000::100:4d9,2000::100:4da,22172,46950,1603077327.6155434,1603077512.9693062,190,223,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,277,81,1217,399,23,9,345,13,1
2000::100:51f,2000::100:4e3,50695,33049,1603077668.7162824,1603077872.0443761,190,250,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,224,60,662,233,6,32,345,84,1
2000::100:4da,170.86.71.81,53817,26283,1603077789.5044131,1603078051.7136965,190,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,18,358,217,75,9,267,121,1
78.194.18.162,6003::fd8,45025,47228,1603078032.4953516,1603078412.779869,190,189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,224,88,1217,17,62,82,31,126,1
229.22.121.232,23.245.74.150,10996,5244,1603078400.5949981,1603078543.9724162,191,266,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,226,230,13,11,7,33,1
6003::1014,58.194.90.133,28945,28889,1603078526.0264213,1603078960.536001,190,131,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,224,31,32,467,178,15,345,194,1
227.206.66.90,14.6.21.117,33097,7800,1603078580.0344656,1603079035.2556973,190,214,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,224,31,1217,558,143,30,267,8,1
216.205.19.246,250.200.66.26,57744,31093,1603078694.631644,1603079134.0567973,191,193,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,224,89,156,400,178,9,345,20,1
39.252.242.223,181.87.91.73,46091,54997,1603078782.4185119,1603079222.3899894,190,266,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,277,79,241,588,44,12,267,238,1
2000::100:4e4,6003::fec,34759,8063,1603078952.1218436,1603079390.0331256,190,195,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,36,20,1217,183,40,51,345,20,1
96.64.157.220,2000::100:520,60192,47368,1603079053.3565264,1603079203.8485122,190,277,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,224,99,1217,276,143,68,345,15,1
6003::fec,92.24.14.246,54625,1331,1603079165.6905951,1603079609.0437186,190,262,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,224,86,1217,204,178,71,17,12,1
210.138.168.236,199.212.208.74,29808,24188,1603079460.4127574,1603079655.3770707,190,167,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,69,338,192,143,64,145,127,1
32.169.128.50,6003::1028,49536,56443,1603079755.69828,1603079977.5923827,190,263,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,224,42,1510,227,143,6,345,0,1
204.219.240.141,2000::100:529,6342,40434,1603079773.2976794,1603080174.1278424,191,117,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,66,103,1217,179,68,24,91,17,1
2000::100:51f,2000::100:4cf,10592,20047,1603079826.6083093,1603080234.0713816,191,285,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,277,7,1217,357,178,60,345,6,1
2000::100:4da,90.0.31.5,14770,64221,1603079906.242895,1603080322.034634,190,253,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,112,115,169,430,178,31,10,16,1
225.35.233.71,2000::100:4f8,45164,63424,1603080048.4229424,1603080501.211274,190,144,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,102,318,465,14,38,223,84,1
89.83.23.167,6003::fd8,45241,60649,1603080136.2297833,1603080346.683315,190,101,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,76,74,359,97,178,38,267,33,1
6003::1028,6003::ff6,4410,10145,1603080398.3965936,1603080747.3949594,190,87,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,64,111,459,275,2,71,90,62,1
2000::100:4cf,168.76.127.237,54235,6451,1603080525.3998318,1603080602.7237756,191,149,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,224,25,20,491,28,0,34,7,1
2000::100:4e4,210.253.153.7,14438,51902,1603080652.0488274,1603080722.1359088,190,138,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,277,112,650,214,22,57,267,39,1
37.228.127.144,76.38.178.198,33925,48957,1603080965.6019557,1603081413.946153,191,110,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,277,21,114,438,49,25,70,186,1
93.147.113.25,95.41.145.95,15456,40056,1603081059.4932075,1603081513.8790998,190,279,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,224,5,1217,500,143,73,267,57,1
2000::100:501,6003::100a,4468,27058,1603081131.1017168,1603081561.9917543,190,124,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,123,75,11,218,49,51,23,89,1
125.177.4.91,222.17.27.51,22790,65239,1603081472.99096,1603081885.9214659,190,264,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,123,119,1510,67,143,7,5,29,1
126.111.177.51,2000::100:4e3,9251,32950,1603081473.318805,1603081883.1110692,191,129,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,104,21,94,116,19,37,5,234,1
6003::fd8,2000::100:520,23919,30752,1603081484.1282854,1603081876.6185715,191,152,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,224,123,239,339,11,63,14,18,1
143.148.26.218,2000::100:4cf,29343,36462,1603081753.4826128,1603082033.2002418,190,238,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,27,48,577,476,19,29,35,5,1
6003::fe2,165.94.200.151,25051,26709,1603081866.0468953,1603082178.206854,190,105,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,642,639,178,3,345,2,1
