src_ip,dst_ip,src_port,dst_port,first_pkt_time,last_pkt_time,avg_hops,avg_packet_len,nodeRelatedMessages:HeartbeatRequest,nodeRelatedMessages:HeartbeatResponse,nodeRelatedMessages:PFDManagementRequest,nodeRelatedMessages:PFDManagementResponse,nodeRelatedMessages:AssociationSetupRequest,nodeRelatedMessages:AssociationSetupResponse,nodeRelatedMessages:AssociationUpdateRequest,nodeRelatedMessages:AssociationUpdateResponset,nodeRelatedMessages:AssociationReleaseRequest,nodeRelatedMessages:AssociationReleaseResponse,nodeRelatedMessages:VersionNotSupportedResponse,nodeRelatedMessages:NodeReportRequest,nodeRelatedMessages:NodeReportResponse,nodeRelatedMessages:SessionSetDeletionRequest,nodeRelatedMessages:SessionSetDeletionResponse,sessionRelatedMessages:SessionEstablishmentRequest,sessionRelatedMessages:SessionEstablishmentResponse,sessionRelatedMessages:SessionModificationRequest,sessionRelatedMessages:SessionModificationResponse,sessionRelatedMessages:SessionDeletionRequest,sessionRelatedMessages:SessionDeletionResponse,sessionRelatedMessages:SessionReportRequest,sessionRelatedMessages:SessionReportResponse,class
6003::1002,6003::1004,8811,14610,1603074283.5770135,1603074691.1907954,190,161,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,79,103,516,27,14,14,27,3,normal
2000::100:504,2000::100:504,14606,14597,1603074170.6846082,1603074263.404072,190,180,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,460,336,27,69,94,130,normal
6003::1005,6003::1001,14606,14610,1603074621.6911633,1603074887.80795,190,259,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,45,77,564,287,35,29,195,46,normal
6003::1005,2000::100:504,8806,14605,1603074553.7719493,1603074938.407437,190,163,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,48,73,501,520,19,3,119,116,normal
2000::100:501,2000::100:502,14605,8800,1603074022.0653641,1603074076.3810785,191,209,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,78,51,314,71,2,11,23,184,normal
6003::1000,2000::100:503,14593,8803,1603074075.0161576,1603074392.6083293,191,199,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43,375,528,80,79,6,27,normal
6003::1003,2000::100:502,14613,14597,1603074314.6457648,1603074562.1412058,190,237,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,52,90,273,565,27,57,16,10,normal
6003::1002,2000::100:501,8804,14614,1603074136.5244296,1603074524.7941937,190,228,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,57,31,141,394,42,21,165,30,normal
6003::1001,2000::100:501,8797,14611,1603074611.7347157,1603074886.956835,190,245,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,114,58,251,315,64,4,69,155,normal
6003::1005,2000::100:502,14606,8796,1603074347.5243044,1603074726.7875469,190,207,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,92,497,568,11,39,30,202,normal
