src_ip,dst_ip,src_port,dst_port,first_pkt_time,last_pkt_time,avg_hops,avg_packet_len,nodeRelatedMessages:HeartbeatRequest,nodeRelatedMessages:HeartbeatResponse,nodeRelatedMessages:PFDManagementRequest,nodeRelatedMessages:PFDManagementResponse,nodeRelatedMessages:AssociationSetupRequest,nodeRelatedMessages:AssociationSetupResponse,nodeRelatedMessages:AssociationUpdateRequest,nodeRelatedMessages:AssociationUpdateResponset,nodeRelatedMessages:AssociationReleaseRequest,nodeRelatedMessages:AssociationReleaseResponse,nodeRelatedMessages:VersionNotSupportedResponse,nodeRelatedMessages:NodeReportRequest,nodeRelatedMessages:NodeReportResponse,nodeRelatedMessages:SessionSetDeletionRequest,nodeRelatedMessages:SessionSetDeletionResponse,sessionRelatedMessages:SessionEstablishmentRequest,sessionRelatedMessages:SessionEstablishmentResponse,sessionRelatedMessages:SessionModificationRequest,sessionRelatedMessages:SessionModificationResponse,sessionRelatedMessages:SessionDeletionRequest,sessionRelatedMessages:SessionDeletionResponse,sessionRelatedMessages:SessionReportRequest,sessionRelatedMessages:SessionReportResponse
6003::1004,2000::100:502,10530,12379,1603074056.0639784,1603074516.941791,191,149,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,119,38,214,378,70,1,25,2
6003::1004,2000::100:503,11798,11235,1603074257.9498901,1603074414.3878474,190,181,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,92,77,35,32,74,15,7
6003::1005,2000::100:506,11797,11092,1603074380.1723776,1603074837.100198,190,251,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,69,84,553,613,66,33,24,8
6003::1005,2000::100:504,11205,14398,1603074448.7509637,1603074885.658364,190,273,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,92,490,460,9,26,2,103
6003::1001,2000::100:502,13541,11197,1603074677.422556,1603075115.725411,190,221,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,84,597,317,20,72,176,2
6003::1000,2000::100:501,10992,9982,1603074755.1434288,1603075018.5222814,190,269,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,119,217,583,63,55,190,15
6003::1002,2000::100:505,11070,10558,1603074841.3423116,1603075209.5965347,190,207,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,42,75,415,541,29,40,8,158
2000::100:502,6003::1000,11810,12413,1603075209.908135,1603075623.6894581,190,242,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,94,76,30,27,22,57,14
2000::100:503,2000::100:506,11785,12891,1603075253.978171,1603075606.3361518,190,100,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,86,44,261,431,68,34,7,181
6003::1001,2000::100:503,10325,14346,1603075593.5919192,1603076020.3737545,190,133,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,30,56,124,645,13,1,126,120
